IMDb_ID,Title,Budget
tt0111161,The Shawshank Redemption,25000000    
tt0068646,The Godfather,6000000    
tt0468569,The Dark Knight,185000000    
tt0071562,The Godfather Part II,13000000    
tt0050083,12 Angry Men,350000    
tt0167260,The Lord of the Rings: The Return of the King,94000000    
tt0108052,Schindler's List,22000000    
tt0110912,Pulp Fiction,8000000    
tt0120737,The Lord of the Rings: The Fellowship of the Ring,93000000    
tt0060196,"The Good, the Bad and the Ugly",1200000    
tt0109830,Forrest Gump,55000000    
tt0167261,The Lord of the Rings: The Two Towers,94000000    
tt0137523,Fight Club,63000000    
tt1375666,Inception,160000000    
tt0080684,Star Wars: Episode V - The Empire Strikes Back,18000000    
tt0133093,The Matrix,63000000    
tt0099685,Goodfellas,25000000    
tt0816692,Interstellar,165000000    
tt0073486,One Flew Over the Cuckoo's Nest,3000000    
tt0114369,Se7en,33000000    
tt0038650,It's a Wonderful Life,3180000    
tt0102926,The Silence of the Lambs,19000000    
tt0047478,Seven Samurai,125000000    
tt0120815,Saving Private Ryan,70000000    
tt0120689,The Green Mile,60000000    
tt0317248,City of God,3300000    
tt0118799,Life Is Beautiful,15000000000    
tt0103064,Terminator 2: Judgment Day,102000000    
tt0076759,Star Wars: Episode IV - A New Hope,11000000    
tt0088763,Back to the Future,19000000    
tt0245429,Spirited Away,19000000    
tt0253474,The Pianist,35000000    
tt0172495,Gladiator,103000000    
tt6751668,Parasite,11400000    
tt0054215,Psycho,806947    
tt0110357,The Lion King,45000000    
tt0095327,Grave of the Fireflies,3700000    
tt0407887,The Departed,90000000    
tt2582802,Whiplash,3300000    
tt0056058,Harakiri,
tt0482571,The Prestige,40000000    
tt0120586,American History X,20000000    
tt0110413,Léon: The Professional,16000000    
tt9362722,Spider-Man: Across the Spider-Verse,100000000    
tt0034583,Casablanca,950000    
tt0095765,Cinema Paradiso,5000000    
tt0114814,The Usual Suspects,6000000    
tt1675434,The Intouchables,
tt0078748,Alien,11000000    
tt0027977,Modern Times,1500000    
tt0047396,Rear Window,1000000    
tt0064116,Once Upon a Time in the West,5000000    
tt1853728,Django Unchained,100000000    
tt0021749,City Lights,1500000    
tt0078788,Apocalypse Now,31500000    
tt0910970,WALL·E,180000000    
tt0209144,Memento,9000000    
tt15239678,Dune: Part Two,190000000    
tt0082971,Raiders of the Lost Ark,18000000    
tt4154756,Avengers: Infinity War,321000000    
tt0405094,The Lives of Others,2000000    
tt0043014,Sunset Boulevard,1752000    
tt4633694,Spider-Man: Into the Spider-Verse,90000000    
tt0051201,Witness for the Prosecution,3000000    
tt0050825,Paths of Glory,935000    
tt0081505,The Shining,19000000    
tt0032553,The Great Dictator,2000000    
tt23849204,12th Fail,
tt0361748,Inglourious Basterds,70000000    
tt0090605,Aliens,18500000    
tt1345836,The Dark Knight Rises,250000000    
tt2380307,Coco,175000000    
tt0086879,Amadeus,18000000    
tt4154796,Avengers: Endgame,356000000    
tt0114709,Toy Story,30000000    
tt0119217,Good Will Hunting,10000000    
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1800000    
tt0364569,Oldboy,3000000    
tt0057565,High and Low,
tt0082096,Das Boot,
tt0112573,Braveheart,72000000    
tt0169547,American Beauty,15000000    
tt5311514,Your Name.,
tt0119698,Princess Mononoke,
tt1187043,3 Idiots,
tt7286456,Joker,55000000    
tt8267604,Capernaum,4000000    
tt0087843,Once Upon a Time in America,30000000    
tt0045152,Singin' in the Rain,2540800    
tt0091251,Come and See,
tt0180093,Requiem for a Dream,4500000    
tt0086190,Star Wars: Episode VI - Return of the Jedi,32500000    
tt0435761,Toy Story 3,200000000    
tt2106476,The Hunt,
tt0044741,Ikiru,
tt0338013,Eternal Sunshine of the Spotless Mind,20000000    
tt1255953,Incendies,6800000    
tt0053604,The Apartment,3000000    
tt0062622,2001: A Space Odyssey,12000000    
tt0056172,Lawrence of Arabia,15000000    
tt0105236,Reservoir Dogs,1200000    
tt0086250,Scarface,50000000    
tt0113277,Heat,60000000    
tt0036775,Double Indemnity,927262    
tt0053125,North by Northwest,3101000    
tt1049413,Up,175000000    
tt0022100,M,
tt0033467,Citizen Kane,839727    
tt0093058,Full Metal Jacket,30000000    
tt0052357,Vertigo,2479000    
tt0211915,Amélie,10000000    
tt0986264,Like Stars on Earth,
tt1832382,A Separation,500000    
tt0056592,To Kill a Mockingbird,2000000    
tt0095016,Die Hard,28000000    
tt0097576,Indiana Jones and the Last Crusade,48000000    
tt0070735,The Sting,5500000    
tt0066921,A Clockwork Orange,2200000    
tt0017136,Metropolis,
tt15398776,Oppenheimer,100000000    
tt0252488,The Chaos Class Failed the Class,
tt0208092,Snatch,
tt8579674,1917,95000000    
tt0119488,L.A. Confidential,35000000    
tt0040522,Bicycle Thieves,133000    
tt0363163,Downfall,
tt5074352,Dangal,
tt0993846,The Wolf of Wall Street,100000000    
tt8503618,Hamilton,
tt6966692,Green Book,23000000    
tt0075314,Taxi Driver,1300000    
tt0120382,The Truman Show,60000000    
tt0372784,Batman Begins,150000000    
tt0059578,For a Few Dollars More,600000    
tt0055031,Judgment at Nuremberg,3000000    
tt0053291,Some Like It Hot,2883848    
tt1130884,Shutter Island,80000000    
tt0012349,The Kid,250000    
tt10272386,The Father,6000000    
tt0107290,Jurassic Park,63000000    
tt0042192,All About Eve,1400000    
tt0469494,There Will Be Blood,25000000    
tt0167404,The Sixth Sense,40000000    
tt0089881,Ran,11500000    
tt0112641,Casino,52000000    
tt1745960,Top Gun: Maverick,170000000    
tt0477348,No Country for Old Men,25000000    
tt0084787,The Thing,15000000    
tt0105695,Unforgiven,14400000    
tt0457430,Pan's Labyrinth,19000000    
tt0266697,Kill Bill: Vol. 1,30000000    
tt0268978,A Beautiful Mind,58000000    
tt1392214,Prisoners,46000000    
tt0040897,The Treasure of the Sierra Madre,3000000    
tt0346336,The Best of Youth,
tt0055630,Yojimbo,
tt0266543,Finding Nemo,94000000    
tt0347149,Howl's Moving Castle,24000000    
tt0057115,The Great Escape,4000000    
tt0071853,Monty Python and the Holy Grail,
tt0080678,The Elephant Man,5000000    
tt0046912,Dial M for Murder,1400000    
tt4729430,Klaus,40000000    
tt0031381,Gone with the Wind,3977000    
tt1305806,The Secret in Their Eyes,2000000    
tt0071315,Chinatown,6000000    
tt0120735,"Lock, Stock and Two Smoking Barrels",
tt0042876,Rashomon,250000    
tt0434409,V for Vendetta,54000000    
tt2096673,Inside Out,175000000    
tt5027774,"Three Billboards Outside Ebbing, Missouri",15000000    
tt0264464,Catch Me If You Can,52000000    
tt0117951,Trainspotting,
tt0050212,The Bridge on the River Kwai,3000000    
tt0081398,Raging Bull,18000000    
tt29623480,The Wild Robot,78000000    
tt1201607,Harry Potter and the Deathly Hallows: Part 2,125000000    
tt0116282,Fargo,7000000    
tt1291584,Warrior,25000000    
tt1205489,Gran Torino,33000000    
tt0405159,Million Dollar Baby,30000000    
tt0052618,Ben-Hur,15000000    
tt1392190,Mad Max: Fury Road,150000000    
tt0096283,My Neighbor Totoro,3700000    
tt0097165,Dead Poets Society,16400000    
tt0072684,Barry Lyndon,11000000    
tt0118849,Children of Heaven,180000    
tt2119532,Hacksaw Ridge,40000000    
tt2278388,The Grand Budapest Hotel,25000000    
tt10872600,Spider-Man: No Way Home,200000000    
tt2024544,12 Years a Slave,20000000    
tt0112471,Before Sunrise,2500000    
tt0083658,Blade Runner,28000000    
tt0353969,Memories of Murder,2800000    
tt2267998,Gone Girl,61000000    
tt0382932,Ratatouille,150000000    
tt0892769,How to Train Your Dragon,165000000    
tt0198781,"Monsters, Inc.",115000000    
tt0107207,In the Name of the Father,13000000    
tt0073195,Jaws,7000000    
tt3011894,Wild Tales,3300000    
tt0015864,The Gold Rush,923000    
tt1950186,Ford v Ferrari,97600000    
tt0015324,Sherlock Jr.,
tt0978762,Mary and Max,
tt0046268,The Wages of Fear,
tt0077416,The Deer Hunter,15000000    
tt0017925,The General,750000    
tt0031679,Mr. Smith Goes to Washington,1900000    
tt0047296,On the Waterfront,910000    
tt3315342,Logan,97000000    
tt0075148,Rocky,960000    
tt0050986,Wild Strawberries,
tt0046438,Tokyo Story,
tt0041959,The Third Man,
tt1895587,Spotlight,20000000    
tt26548265,Maharaja,
